Champion,Skin_Count,Speedup_2_to_3,Performance_Degradation_%,Total_Time_2_Threads_s,Total_Time_3_Threads_s,Time_Saved_s,Avg_Skin_Time_2_Threads_s,Avg_Skin_Time_3_Threads_s,Recommendation
Rell,4,1.18,-15.1,3.98,3.38,+0.60,0.783,0.665,RECOMMEND 3 threads
Udyr,6,1.18,-3.1,3.96,3.34,+0.62,0.624,0.604,RECOMMEND 3 threads
Akali,21,1.17,+1.2,15.78,13.44,+2.34,0.729,0.737,RECOMMEND 3 threads
Ahri,20,1.16,-4.2,15.36,13.26,+2.10,0.746,0.714,RECOMMEND 3 threads
Irelia,15,1.16,-2.9,12.23,10.59,+1.64,0.783,0.760,RECOMMEND 3 threads
Lucian,14,1.16,-1.0,11.68,10.07,+1.61,0.698,0.691,RECOMMEND 3 threads
Sona,15,1.16,-3.5,12.09,10.46,+1.63,0.804,0.776,RECOMMEND 3 threads
Vayne,18,1.16,-5.1,13.82,11.95,+1.87,0.682,0.647,RECOMMEND 3 threads
Smolder,1,1.15,-21.3,1.36,1.18,+0.18,0.630,0.496,RECOMMEND 3 threads
Varus,15,1.15,-3.4,11.39,9.88,+1.51,0.673,0.651,RECOMMEND 3 threads
Mel,1,1.11,-17.1,1.42,1.28,+0.14,0.648,0.538,RECOMMEND 3 threads
Ryze,14,1.11,+8.0,10.00,9.00,+1.00,0.667,0.720,RECOMMEND 3 threads
Briar,2,1.10,-21.9,2.03,1.84,+0.19,0.716,0.559,MIXED - test individually
Yunara,1,1.08,-13.8,1.41,1.30,+0.11,0.621,0.535,MIXED - test individually
Hwei,2,1.07,-14.4,2.23,2.09,+0.14,0.733,0.628,MIXED - test individually
Aurora,2,1.03,-14.7,1.97,1.91,+0.06,0.630,0.538,MIXED - test individually
Milio,2,1.00,-5.1,2.15,2.15,+0.00,0.668,0.635,MIXED - test individually
Aatrox,12,0.86,+145.7,9.89,11.56,-1.67,0.709,1.743,STICK WITH 2 threads
Shaco,15,0.47,+247.3,48.04,101.33,-53.29,5.280,18.338,STICK WITH 2 threads
